StudyN	EffectsizeID	Authors	FirstA	YearPubl	Title	Journal	Notes	Group	ExDis	CatDis	Diagnosis1	Age	Diagnosis2	Diagnosis3	Diagnosis4	Ne	Nc	ni	Country	Gender	PercMale	MeanAgeExp	SdevAgeExp	MeanAgeCon	SdevAgeCon	AvAge	ToolDiag	Informants	OtherMeas	Comorbidity	YesCom	NameCom	ComCat	Split	ExpParad	ParadigmFrom	AdjustedParadigm 	Symbols	ErrorRate	FeedbackGiven	Task_FB	SignBehRes	OtherSigRes	OtherERPcomp	ERP	Medication1	Medication2	HoursMedication	Me	Se	Mc	Sc	N_trials	"N final/Error trials in analysis c;e"	PrGrDif	Latency	Window	TE	seTE	
11	11	Luijten et al. 2011	Luijten	2011	Diminished error processing in sokers during smoking cue exposure	Psychopharmacology		Subclinical	Addiction	Tobacco	Subclincal Addiction	Adult	Adult Addiction	Subclinical Addiction	S_No	13	14	27	NL	Both	70,37	20,7	1,3	21,4	2,6	21,05	FTND	Self-report	I? QF, PANAS, SHAPS, QSU	No			No 	mean score 5	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	arrows + smoking cue pictures		Yes	E_Y	post-error corectness	higher scores on impuslivity score for smokers vs nonsmokers	Yes	"N2; P3"	N_U	No		-2,3784	2,7898	-3,5784	1,1883	900	"23;20"	No	25-75	small	0,5504	0,1549	Luijten
12	12	Maij et al. 2017a	Maij	2017	Cognitive control in young adults with cannabis use disorder: An event/related brain potential study	Journal of Psychopharmacology		Clinical	Addiction	Cannabis	Clinical Addiction	Adult	Adult Addiction	Clinical Addiction	D_No	35	19,5	54,5	NL	Both	76,32	21,7	2,1	22,1	2,1	21,9	DSM-IV	Specialist	"AUDIT; BIS-11; FTND"	Yes	Disorders	ADHD/ADD	YesExt		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	reactiontime incor		Yes	"N2; P3 (gonogo)"	N_U	No		-4,7491	5,1986	-6,1710	5,7367	400	-999	Yes	25-75	small	0,2598	0,0805	Maij
12	13	Maij et al. 2017b	Maij	2017	Cognitive control in young adults with cannabis use disorder: An event/related brain potential study	Journal of Psychopharmacology		Clinical	Addiction	Tobacco	Clinical Addiction	Adult	Adult Addiction	Clinical Addiction	D_No	38	19,5	57,5	NL	Both	67,52	21,4	2,5	22,1	2,1	21,75	DSM-IV	Specialist	"AUDIT; BIS-11; FTND"	Yes	Disorders	ADHD/ADD	YesExt		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	reactiontime incor		Yes	"N2; P3 (gonogo)"	N_U	No		-5,0311	4,9387	-6,1710	5,7367	400	-999	Yes	25-75	small	0,2155	0,078	Maij
13	14	Marhe et al. 2013	Marhe	2013	Error-related brain activity predicts cocaine use after treametn at 3/month follow-up	Biological Psychiatry	incl follow up 	Clinical	Addiction	Cocaine	Clinical Addiction	Adult	Adult Addiction	Clinical Addiction	D_Unknown	49	23	72	NL	Both	84,21	39,6	8,4	39,9	9,4	39,75	DSM-IV	Multiple	"ASI; OCDUS"	No			No 		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y		cocaine use	No		N_U	Unknown		-4,8922	4,5333	-8,2144	4,5340	400	-999	No	25-100	small	0,7249	0,0677	Marhe
14	15	Marquardt et al. 2018	Marquard	2018	Event-related-potential (ERP) correlates of performance monitoring in dults with ADHD	Frontiers in Psychology 		Clinical	ADHD	ADHD	Clinical ADHD	Adult	Adult ADHD	Adult ADHD	A_A_YesOff	27	28	55	NO	Both	50,91	35,32	8,8	33,37	7	34,345	"ICD-10; DSM-IV"	Specialist	"ASRS; Conners; FSIQ"	Yes	Disorders	anx, depr, ASD, alco, drug, eating	YesMix		EriksenFlanker	Eriksen & Eriksen, 1974	Yes	Arrows	.5 (?)	Yes	E_Y	performance	ASRS scores	Yes	"N2; P3"	Yes	YesOff	48	-4,2300	2,7800	-6,3800	3,7300	520	-999	No	20-60	small	0,6426	0,0768	Marquard
15	16	McLoughlin et al. 2009a	McLoughlin	2009	Performance monitoring is altered in adult ADHD: A familial event-related potential investigation	Neuropsychologia		Clinical	ADHD	ADHD	Clinical ADHD	Adult	Adult ADHD	Adult ADHD	A_A_YesOff	21	20	41	UK	Male	100	32,51	5,84	30	6,51	31,255	DSM-IV	Specialist	"Barkley adult rating scale; WISC"	No			No 		EriksenFlanker	Eriksen & Schultz, 1979	No	Arrows		Yes	E_Y	performance		Yes	"N2; PNe"	Yes	YesOff	48	-5,0500	2,7400	-9,0500	5,6200	400	"33;27"	No	0-150	broad	0,8943	0,1084	McLoughlin
15	17	McLoughlin et al. 2009b	McLoughlin	2009	Performance monitoring is altered in adult ADHD: A familial event-related potential investigation	Neuropsychologia		Subclinical	ADHD	ADHD	Subclinical ADHD	Adult	Adult ADHD	Adult ADHD	A_A_No	20	20	40	UK	Male	100	45,9	4,15	30	6,51	37,95	DSM-IV	Specialist	"Barkley adult rating scale; WISC"	No			No 		EriksenFlanker	Eriksen & Schultz, 1979	No	Arrows		Yes	E_Y	performance		Yes	"N2; PNe"	N_U	No	48	-5,4600	4,6100	-9,0500	5,6200	400	"33;27"	No	0-250	broad	0,6846	0,1065	McLoughlin
16	18	Michelini et al. 2016a	Michelini	2016	Attention-Deficit/Hyperactivity Disorder remission is linked to better neurophysiological error dection and attention-vigilance processes	Biological Psychiatry 	See supplementory material	Clinical	ADHD	ADHD	Clinical ADHD	Adult	Adult ADHD	Adult ADHD	A_A_YesOff	87	84,5	171,5	UK	Both	66,79	18,27	3,03	18,77	2,19	18,52	"DSM-IV; DIVA"	Multiple	"Barkley functional impariment scale; WASC"	Yes	Disorders		No 		EriksenFlanker	Eriksen & Eriksen, 1974	Yes	Arrows	.5	No	E_N	performance	IQ	Yes	N2	Yes	YesOff	48	-7,7800	3,3700	-8,1300	4,0200	400	-999	Yes	0-150	broad	0,0941	0,0234	Michelini
16	19	Michelini et al. 2016b	Michelini	2016	Attention-Deficit/Hyperactivity Disorder remission is linked to better neurophysiological error dection and attention-vigilance processes	Biological Psychiatry 	See supplementory material	Subclinical	ADHD	ADHD	Subclinical ADHD	Adult	Adult ADHD	Adult ADHD	A_A_YesOff	23	84,5	107,5	UK	Both	79,17	18,89	3,03	18,77	2,19	18,83	"DSM-IV; DIVA"	Multiple	"Barkley functional impariment scale; WASC"	Yes	Disorders		No 		EriksenFlanker	Eriksen & Eriksen, 1974	Yes	Arrows	.5	No	E_N	performance	IQ	Yes	N2	Yes	YesOff	48	-7,4200	3,2100	-8,1300	4,0200	400	-999	Yes	0-150	broad	0,1824	0,0555	Michelini
17	20	Morie et al. 2014	Morie	2014	Executive dysfunction and reward dysregulation: A high-density electrial mapping in cocaine abusers	Neuropharmacology		Clinical	Addiction	Cocaine	Clinical Addiction	Adult	Adult Addiction	Clinical Addiction	D_No	23	27	50	USA	Both	72	44	6,6	41	8,5	42,5	DSM-IV	Specialist	"breathalyzer; ASI; CSSA; urine screen; SHPS, CPCSAS"	Yes	Disorders	alcohol/drug use	YesExt		GoNoGo		Yes	IAPS 	.15	Yes	E_Y	performance	prediction of addiction severity	Yes	"N2; P3"	N_U	No	24	-0,9300	1,7000	-1,8200	1,3300	1260	-999	No	30-70	small	0,5798	0,0841	Morie
18	21	Munro et al. 2007	Munro	2007	ERN varies with degree of psychopathy in an emotional discrimintation task	Biological Psychiatry	"violent offenders; letter flanker used! "	Clinical	Other	Other	Clinical Other	Adult	Adult Other	Other	O_YesOn	15	15	30	CA	Male	100	45,9	13,56	46,6	6,89	46,25	PCL-R	Other	"SULS, facial reco; DS/WAIS, trail making HR-NTB"	No			No 	pcl score < 25	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	HS	0.333333333333333	Yes	E_Y	performance face flanker, not letter	PCL scores	No		Yes	YesOn		-4,0164	5,4803	-5,0670	5,2478	480	46	Yes	0-150	broad	0,1905	0,134	Munro
19	22	Rass et al. 2014a	Rass	2014	Neural correlates of perfromance monitoring in daily and intermittent smokers	Clinical Neurophysiology	 flanker data	Clinical	Addiction	Tobacco	Clinical Addiction	Adult	Adult Addiction	Clinical Addiction	D_No	22	15	37	USA	Both	51,9	27,2	5,3	25,2	4,3	26,2	SCID-I	Self-report	caffeine, alcohol, anxiety/depr history, CO ppm, craving, NDS, FTND	No			No 	see article	EriksenFlanker	"Eriksen & Eriksen, 1974; Fridberg et al. 2013"	No	Fl: Middle of 5 letters, GnG: XO	.5	Yes	E_Y			No		N_U	No		-4,4000	4,4000	-4,6000	5,1000	400	-999	Yes	(-50)-100	broad	0,0417	0,1121	Rass
19	23	Rass et al. 2014b	Rass	2014	Neural correlates of perfromance monitoring in daily and intermittent smokers	Clinical Neurophysiology	 flanker data	Subclinical	Addiction	Tobacco	Subclincal Addiction	Adult	Adult Addiction	Subclinical Addiction	S_No	31	15	46	USA	Both	42,62	23,9	4,4	25,2	4,3	24,55	SCID-I	Self-report	caffeine, alcohol, anxiety/depr history, CO ppm, craving, NDS, FTND	No			No 	see article	EriksenFlanker	"Eriksen & Eriksen, 1974; Fridberg et al. 2013"	No	Fl: Middle of 5 letters, GnG: XO	.5	Yes	E_Y			No		N_U	No		-5,0000	4,1000	-4,6000	5,1000	400	-999	Yes	(-50)-100	broad	-0,0885	0,099	Rass
20	24	Sokhadze et al. 2008	Sokhadze	2008	Event-related potential study of executive dysfunction in a speeded reaction task in cocaine addicition	Journal of Neurotherapy	of the exp group, 40% was afro-american	Clinical	Addiction	Cocaine	Clinical Addiction	Adult	Adult Addiction	Clinical Addiction	D_No	19	15	34	USA	Both	55,88	42,1	5,5	37	9,4	39,55	DSM-IV RT	Specialist	"PSS-SR; HSCL-25, ASI, SAS, drug test"	No		could have PTSD	YesInt		EriksenFlanker	Eriksen & Eriksen, 1974	Yes	LR + nogo trials (RN LN)	20% (nogo)	No	E_N	performance	.	Yes	N200, N2b, N450, P3 	N_U	No		-2,2000	1,5200	-5,7100	2,7600	960	-999	No	50-200	broad	1,5923	0,1612	Sokhadze
21	25	Vilà-Balló et al. 2014	Vilà-Balló	2015	Neurophysiological correlates of error monitoring and inhibitiory processing in juvenile violent offenders	Biological Psychology	violent offenders	Clinical	Other	Other	Clinical Other	Adult	Adult Other	Other	O_No	17	17	34	Esp	Male	100	18,3	0,3	18,6	0,3	18,45	incar spanish law	Other	"I7; AQ; CFQ, NEO PI; CES, FFPI; IQ"	No			No 		EriksenFlanker	"Eriksen & Eriksen, 1974; Band, Van der Molen & Logan (2003)"	Yes	Flanker with 16,6% NoGo trials of stopsignal tasks. Fla: arrows and SS: stairecase tracking algor	50% and then varried	No	E_N	performance	personality assessment	Yes	N2, P3	N_U	No		-1,8860	3,0650	-3,3360	3,8190	1920	-999	No	65-115	small	0,4089	0,1204	Vilà-Balló
22	26	Wild-Wall et al. 2009	Wild-Wall	2009	Neural activity associated with executive functions in adolescent with attention-deficit/hyperactivity disorder (ADHD).	International Journal of Psychophysiology		Clinical	ADHD	ADHD	Clinical ADHD	Child	Child ADHD	Child ADHD	C_A_Unknown	15	12	27	DE	Both	70,83	13,9	1,6	13,2	1,5	13,55	PACS (DSM-IV) 	Multiple	"CPRS-R (+sib); SDQ; WISC"	Yes	Symptoms	anxiety, ODD, CD	YesMix		EriksenFlanker	Kopp et al., 1996	Yes	Arrows and with no go elements	.2	Yes	E_Y			Yes	N2, P3a, Nc, Pc	N_U	Unknown		-9,5000	6,1000	-13,1000	8,9000	840	-999	Yes	(-50)200	broad	0,4678	0,1547	Wild-Wall
23	27	Zijlmans et al. 2019	Zijlmans	2019	Error-related brain activity in relation to psychopathic traits in multi-problem young adults: An ERP study	Biological Psychology	multi problem	Subclinical	Other	Other	Subclinical Other	Adult	Adult Other	Other	O_Unknown	119	26	145	NL	Male	100	22,54	2,35	23,1	2,6	22,82	YPI	Other 	MATE, WAIS-III SF.	Yes	Disorders	drug use use	YesExt		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	Performance	YPI	No		N_U	Unknown		-4,8300	5,0600	-7,5500	5,0200	400	-999	Yes	25-100	small	0,5355	0,0479	Zijlmans
																																																												
