StudyN	EffectsizeID	Authors	FirstA	YearPubl	Title	Journal	Notes	Group	ExDis	CatDis	Diagnosis1	Diagnosis2	Diagnosis3	Diagnosis4	Age	Ne	Nc	ni	Country	Gender	PercMale	MeanAgeExp	SdevAgeExp	MeanAgeCon	SdevAgeCon	AvAge	ToolDiag	Informants	OtherMeas	Comorbidity	YesCom	NameCom	ComCat	Split	ExpParad	ParadigmFrom	AdjustedParadigm 	Symbols	ErrorRate	FeedbackGiven	Task_FB	SignBehRes	OtherSigRes	OtherERPcomp	ERP	Medication1	Medication2	HoursMedication	Me	Se	Mc	Sc	Latency	Window	PrGrDif	N_trials	TE	seTE
14	15	Luijten et al. 2011	Luijten	2011	Diminished error processing in sokers during smoking cue exposure	Psychopharmacology		Subclinical	Addiction	Tobacco	Subclinical Addiction	Adult Addiction	Subclinical Addiction	S_No	Adult	13	14	27	NL	Both	70,37	20,7	1,3	21,4	2,6	21,05	FTND	Self-report	I? QF, PANAS, SHAPS, QSU	No	No		No	mean score 5	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	arrows + smoking cue pictures		Yes	E_Y	post-error corectness	higher scores on impuslivity score for smokers vs nonsmokers	Yes	"N2; P3"	N_U	No		3,1343	0,7956	3,0408	1,7552	250-350	late	Yes	900	0,0657	0,1484
15	16	Maij et al. 2017a	Maij	2017	Cognitive control in young adults with cannabis use disorder: An event/related brain potential study	Journal of Psychopharmacology		Clinical	Addiction	Cannabis	Clinical Addiction	Adult Addiction	Clinical Addiction	D_No	Adult	37	19,5	56,5	NL	Both	76,32	21,7	2,1	22,1	2,1	21,9	DSM-IV	Specialist	"AUDIT; BIS-11; FTND"	Yes	Disorders	ADHD/ADD	YesExt		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	reactiontime incor		Yes	"N2; P3 (gonogo)"	N_U	No		-2,5141	4,9710	-3,3475	3,6850	150-250	early	No	400	0,1796	0,0786
15	17	Maij et al. 2017b	Maij	2017	Cognitive control in young adults with cannabis use disorder: An event/related brain potential study	Journal of Psychopharmacology		Clinical	Addiction	Tobacco	Clinical Addiction	Adult Addiction	Clinical Addiction	D_No	Adult	38	19,5	57,5	NL	Both	67,52	21,4	2,5	22,1	2,1	21,75	DSM-IV	Specialist	"AUDIT; BIS-11; FTND"	Yes	Disorders	ADHD/ADD	YesExt		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	reactiontime incor		Yes	"N2; P3 (gonogo)"	N_U	No		-2,1016	5,4379	-3,3475	3,6850	150-250	early	Yes	400	0,2496	0,0781
16	18	Marquardt et al. 2018	Marquard	2018	Event-related-potential (ERP) correlates of performance monitoring in dults with ADHD	Frontiers in Psychology 		Clinical	ADHD	ADHD	Clinical ADHD	Adult ADHD	Adult ADHD	A_A_YesOff	Adult	27	28	55	NO	Both	50,91	35,32	8,8	33,37	7	34,345	"ICD-10; DSM-IV"	Specialist	"ASRS; Conners; FSIQ"	Yes	Disorders	anx, depr, ASD, alco, drug, eating	YesMix		EriksenFlanker	Eriksen & Eriksen, 1974	Yes	Arrows	.5 (?)	Yes	E_Y	performance	ASRS scores	Yes	"N2; P3"	Y	YesOff	48	3,2200	3,4600	5,3500	6,1000	180-220	early	No	520	-0,4214	0,0744
17	19	McLoughlin et al. 2009a	McLoughlin	2009	Performance monitoring is altered in adult ADHD: A familial event-related potential investigation	Neuropsychologia		Clinical	ADHD	ADHD	Clinical ADHD	Adult ADHD	Adult ADHD	A_A_YesOff	Adult	21	10	31	UK	Male	100	32,51	5,84	30	6,51	31,255	DSM-IV	Multiple	"Barkley adult rating scale; WISC"	No	No	 	No	 	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	Arrows	 	Yes	E_Y	performance	 	Yes	"N2; PNe"	Y	YesOff	48	6,6000	3,5700	8,3600	4,3400	200-500	late	No	400	-0,4480	0,1509
17	20	McLoughlin et al. 2009b	McLoughlin	2009	Performance monitoring is altered in adult ADHD: A familial event-related potential investigation	Neuropsychologia	Fathers with ADHD children	Subclinical	ADHD	ADHD	Clinical ADHD	Adult ADHD	Adult ADHD	A_A_YesOff	Adult	21	10	31	UK	Male	100	45,9	4,15	30	6,51	37,95	DSM-IV	Multiple	"Barkley adult rating scale; WISC"	No	No	 	No	 	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	Arrows	 	Yes	E_Y	performance	 	Yes	"N2; PNe"	Y	YesOff	48	6,6000	3,5700	5,7100	2,7600	200-500	late	No	400	0,2595	0,1487
18	21	Morie et al. 2014	Morie	2014	Executive dysfunction and reward dysregulation: A high-density electrial mapping in cocaine abusers	Neuropharmacology		Clinical	Addiction	Cocaine	Clinical Addiction	Adult Addiction	Clinical Addiction	D_YesOff	Adult	23	27	50	USA	Both	72	44	6,6	41	8,5	42,5	ASI, CSSA (DSM interview for excl)	Multiple		Yes	Disorders	substance use	YesExt		GoNoGo		Yes		.15	Yes	G_Y			Yes	"N2; P3"	Y	YesOff	24	0,5400	1,3600	1,1500	1,6100	100-300	early	No	1260	-0,4001	0,0821
19	22	Munro et al. 2007	Munro	2007	ERN varies with degree of psychopathy in an emotional discrimintation task	Biological Psychiatry	"violent offenders; letter flanker used! Of as two studies?"	Clinical	Other	Other	Clinical Other	Adult Other	Other	O_YesOn	Adult	15	15	30	CA	Male	100	45,9	13,56	46,6	6,89	46,25	PCL-R	Other	"SULS, facial reco; DS/WAIS, trail making HR-NTB"	No	No		No	pcl score < 25	EriksenFlanker	Eriksen & Eriksen, 1974	Yes	one letter (SH) and one face flanker	0.333333333333333	Yes	E_Y	performance face flanker, not letter	PCL scores	No		Y	YesOn		6,3960	5,7223	7,3090	5,4783	150-350	early	Yes	480	-0,1586	0,1338
20	23	Rass et al. 2014a	Rass	2014	Neural correlates of perfromance monitoring in daily and intermittent smokers	Clinical Neurophysiology		Clinical	Addiction	Tobacco	Clinical Addiction	Adult Addiction	Clinical Addiction	D_No	Adult	22	15	37	USA	Both	51,9	27,2	5,3	25,2	4,3	26,2	FTND	Self-report	SCID-Icaffeine, alcohol, anxiety/depr history, CO ppm, craving, NDS, FTND	No	No		No	see article	EriksenFlanker	"Eriksen & Eriksen, 1974; Fridberg et al. 2013"	No	Fl: Middle of 5 letters, GnG: XO	.5	Yes	E_Y			No		N_U	No		12,6000	6,1000	14,1000	5,5000	100-250	early	Yes	400	-0,2501	0,113
20	24	Rass et al. 2014b	Rass	2014	Neural correlates of perfromance monitoring in daily and intermittent smokers	Clinical Neurophysiology	Intermittent smokers	Subclinical	Addiction	Tobacco	Subclinical Addiction	Adult Addiction	Subclinical Addiction	S_No	Adult	31	15	46	USA	Both	42,62	23,9	4,4	25,2	4,3	24,55	FTND	Self-report	SCID-Icaffeine, alcohol, anxiety/depr history, CO ppm, craving, NDS, FTND	No	No		No	see article	EriksenFlanker	"Eriksen & Eriksen, 1974; Fridberg et al. 2013"	No	Fl: Middle of 5 letters, GnG: XO	.5	Yes	E_Y			No		N_U	No		17,5000	8,7000	14,1000	5,5000	100-250	early	Yes	400	0,4270	0,1009
21	25	Vilà-Balló et al. 2014	Vilà-Balló	2015	Neurophysiological correlates of error monitoring and inhibitiory processing in juvenile violent offenders	Biological Psychology	violent offenders	Clinical	Other	Other	Clinical Other	Adult Other	Other	O_No	Adult	17	17	34	Esp	Male	100	18,3	0,3	18,6	0,3	18,45	incar spanish law	Other	"I7; AQ; CFQ, NEO PI; CES, FFPI; IQ"	No	No		No		EriksenFlanker	"Eriksen & Eriksen, 1974; Band, Van der Molen & Logan (2003)"	Yes	Flanker with 16,6% NoGo trials of stopsignal tasks. Fla: arrows and SS: stairecase tracking algor	50% and then varried	No	E_N	performance	personality assessment	Yes	N2, P3	N_U	No		0,6750	4,6410	0,4570	3,9720	135-285	early	No	1920	0,0493	0,1177
22	26	Wiersema et al. 2005	Wiersema	2005	ERP correlates of impaired monitoring in children with ADHD.	Journal of Neural Transmission 		Clinical	ADHD	ADHD	Clinical ADHD	Child ADHD	Child ADHD	C_A_YesOff	Child	22	15	37	BE	Both	64,86	10,3	1,59	10,2	1,97	10,25	"DSM-IV; DISC IV"	Multiple	CBCL, TRF, DBD, IQ	Yes	Disorders	ODD, CD	YesExt		GoNoGo		No	K	.25	No	G_N	performance	S1-S2 task	No		Y	YesOff	24	4,9000	13,1000	11,7000	10,6000	200-500	late	No		-0,5470	0,1162
23	27	Wiersema et al. 2009	Wiersema	2009	ERP correlated of error monitoring in adult ADHD	Journal of Neural Transmission		Clinical	ADHD	ADHD	Clinical ADHD	Child ADHD	Child ADHD	C_A_YesOff	Child	23	19	42	BE	Both	57,14	29,3	11	30,9	11	30,1	ASR, WURS	Specialist	WAIS	Yes	Symptoms	anxiety, depr	YesMix	mean ASR DSM score for exp was 80.1 (verification). 	GoNoGo		No	K	.25	No	G_N	performance		No		Y	YesOff	48	5,6000	8,3000	11,1000	8,9000	200-400	late	Yes		-0,6293	0,1008
24	28	Wild-Wall et al. 2009	Wild-Wall	2009	Neural activity associated with executive functions in adolescent with attention-deficit/hyperactivity disorder (ADHD).	International Journal of Psychophysiology		Clinical	ADHD	ADHD	Clinical ADHD	Child ADHD	Child ADHD	C_A_Unknown	Child	15	12	27	DE	Both	70,83	13,9	1,6	13,2	1,5	13,55	PACS (DSM-IV) 	Multiple	"CPRS-R (+sib); SDQ; WISC"	Yes	Symptoms	anxiety, ODD, CD	YesInt		EriksenFlanker	Kopp et al., 1996	Yes	Arrows and with no go elements	.2	Yes	E_Y			Yes	N2, P3a, Nc, Pc	N_U	Unknown		9,3000	12,1000	6,0000	6,7000	200-250	late	Yes	840	0,3172	0,1519
25	29	Xue et al. 2017	Xue	2017	Disrupted executive function and aggression in individuals with a history of adverse childhood experience	Journal of Nervous and Mental Disease	"Aggression; recruited from larger sample, ace"	Subclinical	Other	Other	Subclinical Other	Adult Other	Other	O_Unknown	Adult	13	14	27	China	Both	44,4	21,31	0,85	21,29	1,33	21,3	BAQ 	Self-report	ACEQ	No	No		No		GoNoGo	McDermon et al., 2012	No	X	.3	No	G_N	N-Back task	.	Yes	N2,P200, P300	N_U	Unknown		13,5600	1,9400	13,9300	1,8700	100-500	early	No	220	-0,1884	0,149
26	30	Zhang et al. 2009	Zhang	2009	The brain regulation mechanism of error monitoring in impulse children with ADHD - An analysis of error related potentials	Neuroscience Letters	adhd + impulsivity. Short report	Clinical	ADHD	ADHD	Clinical ADHD	Child ADHD	Child ADHD	C_A_Unknown	Child	16	16	32	China	Both		7,5	1,4	7,6	1,8	7,55	"DSM-IV; ICD-10"	Other	IQ, EATQ	No	No		No		GoNoGo		No	X K H V Y	.25	Yes	G_Y			No		N_U	Unknown		2,8000	4,7000	5,1000	6,6000	200-400	late	No	320	-0,3913	0,1274
27	31	Zijlmans et al. 2019	Zijlmans	2019	Error-related brain activity in relation to psychopathic traits in multi-problem young adults: An ERP study	Biological Psychology	multi problem	Subclinical	Other	Other	Subclinical Other	Adult Other	Other	O_Unknown	Adult	119	26	145	NL	Male	100	22,54	2,35	23,1	2,6	22,82	YPI	Other	MATE, WAIS-III SF.	Yes	Disorders	drug use use	YesExt		EriksenFlanker	Eriksen & Eriksen, 1974	No	HS		Yes	E_Y	Performance	YPI	No		N_U	Unknown		7,4200	5,0800	5,8500	5,5900	250-400	late	Yes	400	0,3019	0,0472
